ORIGEN;IDIGER;;;;;;;;;;;;;;;;
FECHA CORTE ;jun-25;;;;;;;;;;;;;;;;
Numero de estaciones ;;Tipo ;Estación ;Codigo CNE;Latitud;Longitud;Elevacion;Entidad ;Localidad;Estado informacion en tiempo real ;Fecha de instalacion ;Inicio serio de datos precipitacion;Fecha inicio de datos temperatura y humedad;Fecha inicio de datos Viento;Fecha inicio de datos Presion Barometrica;Fecha inicio de datos nivel;Observaciones
55;; CO;Estación La Esperanza ;21206900;444.914;-7.410.792;3168;IDIGER;USME;Activa;sep-07;14/09/2007;5/05/2010;;;;
56;; CO;Estación La Fiscala ;2120000107;453.602;-7.410.654;2718;IDIGER;USME;Activa;dic-11;2/12/2011;26/09/2015;;;;
57;;HMT;Estación La Ramada Río Bogotá  ;2120700157;470.289;-7.417.725;2561;IDIGER;FONTIBON;Activa;sep-18;7/03/2023;Inicio 2023;;;27/04/2019;
58;; CO;Estación La Unión ;21201200;434.264;-7.418.381;3378;IDIGER;USME;Activa;ago-07;8/09/2007;5/05/2010;;;;
59;; CO;Estación Micaela ;21202210;450.069;-740.865;3062;IDIGER;USME;Retirada;oct-00;13/10/2000;3/09/2010;;;;
60;; HMT;Estación Molinos ;2120700154;455.322;-7.410.789;2590;IDIGER;RAFAEL URIBE;Activa;oct-09;28/03/2013;Inicio 2023;;;4/05/2010;
61;; CO;Estación Paraiso ;21202220;462.798;-740.587;2747;IDIGER;CHAPINERO;Activa;oct-00;6/02/2007;27/08/2010;;;;
62;; CO;Estación Pasquilla ;21201580;4.446.472.014;-7.415.483.901;2962;IDIGER;CIUDAD BOLIVAR;Activa;sep-07;8/09/2007;23/01/2021;;;;
63;; CO;Estación Quiba ;21202180;454.311;-7.415.601;2916;IDIGER;CIUDAD BOLIVAR;Activa;oct-00;21/10/2000;2/09/2010;;;;
64;;HMT;Estación Río Fucha - Av. Cali;2120700208;4.657.684;-74.136.551;2570;IDIGER;FONTIBON;Suspendida;jul-21;;Inicio 2023;;;22/07/2021;
65;;HMT - SIN PM;Estación Río Fucha – Puente Peatonal Carrera 12  ;2120700209;4.582.812;-74.094.156;2597;IDIGER;ANTONIO NARIÑO;Activa;nov-20;;Inicio 2023;;;11/11/2020;
66;;HMT;Estación Río Salitre – Carrera 56b  ;2120700211;4.671.118;-74.076.453;2576;IDIGER;BARRIOS UNIDOS;Activa;nov-20;8/03/2023;Inicio 2023;;;24/11/2020;
67;;HMT - SIN PM;Estación Río Tunjuelo – Autopista Del Sur   ;2120700207;4.595.541;-741.524;2558;IDIGER;CIUDAD BOLIVAR;Activa;nov-20;;Inicio 2023;;;11/11/2020;Se presentan novedades en el sensor de nivel por hurto 
68;; HMT;Estación San Benito Río Tunjuelo ;21206810;4.563.653.028;-7.413.845.001;2564;IDIGER;TUNJUELITO;Activa;dic-03;7/09/2005;1/09/2010;;;7/09/2010;
69;; HMT;Estación San Francisco Qda. Limas ;2120700038;456.235;-7.414.886.901;2577;IDIGER;CIUDAD BOLIVAR;Activa;nov-12;27/11/2012;24/09/2015;;;24/09/2015;
70;; CO;Estación UAN Circunvalar ;21202240;463.546;-7.405.746;2717;IDIGER;CHAPINERO;Activa;sep-07;8/09/2007;8/05/2010;2020;2020;;
71;; CO;Estación UAN Usme;21202230;448.152;-7.412.708;2747;IDIGER;CIUDAD BOLIVAR;Activa;oct-00;20/10/2000;28/08/2010;;;;
72;; CO;Estación Vitelma  ;2120500201;457.515;-7.407.175;2777;IDIGER;SAN CRISTOBAL;Activa;oct-00;21/10/2000;26/08/2010;2023;;;
73;;CO;Estacion Nazareth;Por Asignar;417.279;-7.414.742;3350;IDIGER;SUMAPAZ;Activa;oct-23;1/01/2023;Inicio 2023;;;;
74;;CO;Estacion La viga;Por Asignar;456.587;-7.403.135;3450;IDIGER;SAN CRISTOBAL;Activa;dic-21;1/01/2023;Inicio 2023;;;;
75;;PM;Estación Escuela Colombiana de Ingeniería;Por Asignar;4.783.642;-74.045.983;;IDIGER;SUBA;Activa;nov-24;14/11/2024;;;;;
