cod_mpio,municipio,departamento,idx_minero,idx_deforestacion,idx_fuego,riesgo_nivel,mineria_titulos,rucom_registros,anm_proyectos,presion_extractiva,formalizacion,brecha_formalizacion,alerta_informalidad
73449,MELGAR,TOLIMA,0.716,0.0,0.0,Medio,55,55,110,0.605,0.901,-0.296,False
54520,PAMPLONITA,NORTE DE SANTANDER,0.7174,0.0,0.0,Medio,35,35,180,0.606,0.906,-0.3,False
17524,PALESTINA,CALDAS,0.6762,0.0,0.0,Medio,36,36,145,0.592,0.894,-0.302,False
76122,CAICEDONIA,VALLE DEL CAUCA,0.6915,0.0,0.0,Medio,46,46,123,0.598,0.901,-0.303,False
05890,YOLOMBÓ,ANTIOQUIA,0.7198,0.0,0.0,Medio,32,32,229,0.606,0.911,-0.305,False
05040,ANORÍ,ANTIOQUIA,0.6681,0.0,0.0,Alto,27,27,268,0.589,0.896,-0.307,False
17174,CHINCHINÁ,CALDAS,0.6951,0.0,0.0,Medio,33,33,194,0.6,0.907,-0.307,False
17777,SUPÍA,CALDAS,0.7063,0.0,0.0,Medio,29,29,302,0.602,0.909,-0.307,False
25488,NILO,CUNDINAMARCA,0.6822,0.0,0.0,Medio,49,49,121,0.595,0.904,-0.309,False
15755,SOCOTÁ,BOYACÁ,0.7079,0.0,0.0,Medio,58,58,134,0.603,0.917,-0.314,False
15296,GÁMEZA,BOYACÁ,0.7043,0.0,0.0,Medio,54,54,136,0.601,0.915,-0.314,False
54874,VILLA DEL ROSARIO,NORTE DE SANTANDER,0.6618,0.0,0.0,Medio,37,37,170,0.586,0.905,-0.319,False
15580,QUÍPAMA,BOYACÁ,0.7285,0.0,0.0,Medio,55,55,167,0.607,0.927,-0.32,False
15723,SATIVASUR,BOYACÁ,0.6896,0.0,0.0,Medio,50,50,153,0.597,0.917,-0.32,False
15681,SAN PABLO DE BORBUR,BOYACÁ,0.7087,0.0,0.0,Medio,42,42,207,0.604,0.926,-0.322,False
25793,TAUSA,CUNDINAMARCA,0.6741,0.0,0.0,Alto,33,33,238,0.591,0.918,-0.327,False
05790,TARAZÁ,ANTIOQUIA,0.6695,0.0,0.0,Medio,30,30,349,0.59,0.919,-0.329,False
25781,SUTATAUSA,CUNDINAMARCA,0.6421,0.0,0.0,Medio,36,36,185,0.581,0.912,-0.331,False
05809,TITIRIBÍ,ANTIOQUIA,0.6641,0.0,0.0,Medio,45,45,177,0.587,0.919,-0.332,False
76001,SANTIAGO DE CALI,VALLE DEL CAUCA,0.7017,0.0,0.0,Alto,41,41,261,0.601,0.935,-0.334,False
05579,PUERTO BERRÍO,ANTIOQUIA,0.662,0.0,0.0,Alto,32,32,306,0.587,0.922,-0.335,False
15820,TÓPAGA,BOYACÁ,0.8534,0.0,0.0,Alto,143,143,175,0.618,0.954,-0.336,False
08421,LURUACO,ATLÁNTICO,0.6745,0.0,0.0,Alto,45,45,196,0.591,0.928,-0.337,False
13836,TURBACO,BOLÍVAR,0.7496,0.0,0.0,Alto,73,73,191,0.61,0.948,-0.338,False
15442,MARIPÍ,BOYACÁ,0.6793,0.0,0.0,Medio,34,34,317,0.593,0.932,-0.339,False
76041,ANSERMANUEVO,VALLE DEL CAUCA,0.6743,0.0,0.0,Medio,48,48,191,0.591,0.931,-0.34,False
70823,SAN JOSÉ DE TOLUVIEJO,SUCRE,0.6684,0.0,0.0,Alto,46,46,195,0.589,0.93,-0.341,False
50001,VILLAVICENCIO,META,0.8078,0.0,0.0,Alto,111,111,186,0.616,0.958,-0.342,False
15480,MUZO,BOYACÁ,0.6788,0.0,0.0,Medio,47,47,214,0.593,0.936,-0.343,False
25200,COGUA,CUNDINAMARCA,0.7412,0.0,0.0,Alto,65,65,227,0.609,0.952,-0.343,False
19809,TIMBIQUÍ,CAUCA,1.0,0.0,0.0,Crítico,353,353,184,0.62,0.963,-0.343,False
41524,PALERMO,HUILA,0.782,0.0,0.0,Alto,44,44,432,0.613,0.957,-0.344,False
05756,SONSÓN,ANTIOQUIA,0.7678,0.0,0.0,Medio,77,77,219,0.612,0.957,-0.345,False
23001,MONTERÍA,CÓRDOBA,0.7448,0.0,0.0,Alto,58,58,259,0.61,0.955,-0.345,False
15001,TUNJA,BOYACÁ,0.7862,0.0,0.0,Medio,68,68,255,0.613,0.959,-0.346,False
23580,PUERTO LIBERTADOR,CÓRDOBA,0.6934,0.0,0.0,Medio,39,39,364,0.599,0.946,-0.347,False
15790,TASCO,BOYACÁ,0.797,0.0,0.0,Medio,87,87,225,0.615,0.963,-0.348,False
15757,SOCHA,BOYACÁ,0.7463,0.0,0.0,Alto,79,79,220,0.61,0.958,-0.348,False
13490,NOROSÍ,BOLÍVAR,0.7514,0.0,0.0,Medio,71,71,258,0.611,0.962,-0.351,False
54405,LOS PATIOS,NORTE DE SANTANDER,0.7511,0.0,0.0,Medio,74,74,257,0.611,0.963,-0.352,False
05686,SANTA ROSA DE OSOS,ANTIOQUIA,0.8442,0.0,0.0,Alto,109,109,234,0.618,0.97,-0.352,False
25407,LENGUAZAQUE,CUNDINAMARCA,0.8578,0.0,0.0,Alto,144,144,228,0.618,0.973,-0.355,False
05120,CÁCERES,ANTIOQUIA,0.6775,0.0,0.0,Medio,46,46,311,0.593,0.949,-0.356,False
27810,UNIÓN PANAMERICANA,CHOCÓ,0.74,0.0,0.0,Medio,51,51,419,0.609,0.966,-0.357,False
05154,CAUCASIA,ANTIOQUIA,0.6916,0.0,0.0,Alto,49,49,348,0.599,0.958,-0.359,False
25754,SOACHA,CUNDINAMARCA,0.7971,0.0,0.0,Alto,104,104,290,0.615,0.977,-0.362,False
17442,MARMATO,CALDAS,0.6397,0.0,0.0,Medio,42,42,291,0.579,0.941,-0.362,False
05895,ZARAGOZA,ANTIOQUIA,0.6445,0.0,0.0,Alto,40,40,336,0.581,0.944,-0.363,False
05736,SEGOVIA,ANTIOQUIA,0.736,0.0,0.0,Alto,73,73,323,0.608,0.972,-0.364,False
15516,PAIPA,BOYACÁ,0.8185,0.0,0.0,Alto,92,92,326,0.616,0.981,-0.365,False
05031,AMALFI,ANTIOQUIA,0.7805,0.0,0.0,Alto,80,80,359,0.613,0.979,-0.366,False
76892,YUMBO,VALLE DEL CAUCA,0.8367,0.0,0.0,Crítico,121,121,326,0.617,0.985,-0.368,False
05604,REMEDIOS,ANTIOQUIA,0.8676,0.0,0.0,Alto,161,161,342,0.619,0.989,-0.37,False
17001,MANIZALES,CALDAS,0.8611,0.0,0.0,Crítico,125,125,414,0.619,0.992,-0.373,False
15759,SOGAMOSO,BOYACÁ,0.9443,0.0,0.0,Alto,229,229,382,0.619,0.993,-0.374,False
