cod_mpio,municipio,departamento,idx_minero,idx_deforestacion,idx_fuego,riesgo_nivel,mineria_titulos,rucom_registros,anm_proyectos,presion_extractiva,formalizacion,brecha_formalizacion,alerta_informalidad
41001,NEIVA,HUILA,0.7142,0.0,0.429,Alto,42,42,307,0.773,0.943,-0.17,False
68081,BARRANCABERMEJA,SANTANDER,0.73,0.0,0.4561,Crítico,70,70,195,0.778,0.948,-0.17,False
13667,SAN MARTÍN DE LOBA,BOLÍVAR,0.8335,0.0,0.6155,Crítico,122,122,252,0.804,0.975,-0.171,False
76364,JAMUNDÍ,VALLE DEL CAUCA,0.8051,0.0,0.6401,Crítico,84,84,312,0.804,0.975,-0.171,False
85001,YOPAL,CASANARE,0.7334,0.0,0.0801,Crítico,67,67,115,0.739,0.912,-0.173,False
47189,CIÉNAGA,MAGDALENA,0.6345,0.0,0.2329,Alto,32,32,171,0.718,0.891,-0.173,False
20001,VALLEDUPAR,CESAR,0.8259,0.0,0.6723,Crítico,91,91,361,0.809,0.984,-0.175,False
19110,BUENOS AIRES,CAUCA,0.6819,0.0,0.349,Alto,32,32,360,0.75,0.928,-0.178,False
19256,EL TAMBO,CAUCA,0.7899,0.0,0.4818,Crítico,59,59,349,0.789,0.968,-0.179,False
68418,LOS SANTOS,SANTANDER,0.625,0.0,0.1782,Medio,32,32,166,0.71,0.889,-0.179,False
54001,SAN JOSÉ DE CÚCUTA,NORTE DE SANTANDER,0.9469,0.0,0.6442,Crítico,251,251,403,0.809,0.995,-0.186,False
13458,MONTECRISTO,BOLÍVAR,0.7085,0.0,0.3454,Alto,54,54,236,0.758,0.949,-0.191,False
25224,CUCUNUBÁ,CUNDINAMARCA,0.7601,0.0,0.1003,Alto,80,80,167,0.744,0.94,-0.196,False
54261,EL ZULIA,NORTE DE SANTANDER,0.882,0.0,0.4706,Crítico,162,162,361,0.792,0.992,-0.2,False
68397,LA PAZ,SANTANDER,0.6536,0.0,0.0,Medio,37,37,32,0.584,0.788,-0.204,False
54673,SAN CAYETANO,NORTE DE SANTANDER,0.7827,0.0,0.3031,Crítico,89,89,241,0.764,0.968,-0.204,False
15215,CORRALES,BOYACÁ,0.7727,0.0,0.2508,Alto,84,84,208,0.755,0.959,-0.204,False
73678,SAN LUIS,TOLIMA,0.7892,0.0,0.3048,Alto,81,81,283,0.766,0.971,-0.205,False
17388,LA MERCED,CALDAS,0.6536,0.0,0.0,Medio,17,17,112,0.584,0.792,-0.208,False
05390,LA PINTADA,ANTIOQUIA,0.6505,0.0,0.0,Alto,14,14,158,0.583,0.792,-0.209,False
50006,ACACÍAS,META,0.7731,0.0,0.0497,Crítico,90,90,183,0.743,0.952,-0.209,False
66045,APÍA,RISARALDA,0.6467,0.0,0.0,Medio,36,36,34,0.582,0.791,-0.209,False
68867,VETAS,SANTANDER,0.7066,0.0,0.0,Medio,14,14,272,0.602,0.823,-0.221,False
41551,PITALITO,HUILA,0.6629,0.0,0.0,Alto,13,13,229,0.587,0.809,-0.222,False
11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",0.7163,0.0,0.1321,Crítico,47,47,475,0.739,0.963,-0.224,False
05310,GÓMEZ PLATA,ANTIOQUIA,0.6655,0.0,0.0,Medio,15,15,194,0.588,0.815,-0.227,False
27001,QUIBDÓ,CHOCÓ,0.6417,0.0,0.0,Alto,11,11,473,0.58,0.817,-0.237,False
20517,PAILITAS,CESAR,0.676,0.0,0.0,Medio,28,28,88,0.592,0.83,-0.238,False
50606,RESTREPO,META,0.6472,0.0,0.0,Medio,24,24,96,0.582,0.822,-0.24,False
05044,ANZÁ,ANTIOQUIA,0.6427,0.0,0.0,Medio,32,32,65,0.581,0.821,-0.24,False
27787,TADÓ,CHOCÓ,0.6899,0.0,0.0,Medio,14,14,439,0.598,0.839,-0.241,False
15542,PESCA,BOYACÁ,0.7072,0.0,0.0,Medio,22,22,161,0.603,0.846,-0.243,False
25368,JERUSALÉN,CUNDINAMARCA,0.6664,0.0,0.0,Medio,24,24,123,0.588,0.842,-0.254,False
25873,VILLAPINZÓN,CUNDINAMARCA,0.7062,0.0,0.0,Alto,50,50,71,0.602,0.86,-0.258,False
05585,PUERTO NARE,ANTIOQUIA,0.7,0.0,0.0,Medio,18,18,324,0.6,0.858,-0.258,False
68092,BETULIA,SANTANDER,0.7233,0.0,0.0,Alto,68,68,66,0.607,0.867,-0.26,False
68132,CALIFORNIA,SANTANDER,0.6954,0.0,0.0,Alto,43,43,83,0.6,0.863,-0.263,False
17873,VILLAMARÍA,CALDAS,0.6662,0.0,0.0,Alto,25,25,135,0.588,0.851,-0.263,False
85440,VILLANUEVA,CASANARE,0.6811,0.0,0.0,Medio,46,46,76,0.594,0.86,-0.266,False
73854,VALLE DE SAN JUAN,TOLIMA,0.6668,0.0,0.0,Medio,24,24,160,0.589,0.856,-0.267,False
50313,GRANADA,META,0.6441,0.0,0.0,Medio,32,32,95,0.581,0.852,-0.271,False
41797,TESALIA,HUILA,0.6552,0.0,0.0,Medio,19,19,278,0.585,0.858,-0.273,False
15837,TUTA,BOYACÁ,0.659,0.0,0.0,Medio,27,27,143,0.586,0.859,-0.273,False
25293,GACHALÁ,CUNDINAMARCA,0.6829,0.0,0.0,Alto,42,42,92,0.595,0.87,-0.275,False
15761,SOMONDOCO,BOYACÁ,0.6721,0.0,0.0,Medio,30,30,126,0.59,0.867,-0.277,False
66687,SANTUARIO,RISARALDA,0.6812,0.0,0.0,Medio,51,51,82,0.594,0.873,-0.279,False
05591,PUERTO TRIUNFO,ANTIOQUIA,0.6417,0.0,0.0,Alto,43,43,80,0.58,0.86,-0.28,False
68615,RIONEGRO,SANTANDER,0.6835,0.0,0.0,Alto,27,27,183,0.595,0.876,-0.281,False
66594,QUINCHÍA,RISARALDA,0.7217,0.0,0.0,Alto,23,23,314,0.606,0.887,-0.281,False
17042,ANSERMA,CALDAS,0.6552,0.0,0.0,Medio,33,33,105,0.585,0.866,-0.281,False
15368,JERICÓ,BOYACÁ,0.6559,0.0,0.0,Medio,28,28,150,0.585,0.868,-0.283,False
15537,PAZ DE RÍO,BOYACÁ,0.6523,0.0,0.0,Medio,20,20,280,0.583,0.866,-0.283,False
15407,VILLA DE LEYVA,BOYACÁ,0.6392,0.0,0.0,Medio,33,33,103,0.579,0.863,-0.284,False
05088,BELLO,ANTIOQUIA,0.6601,0.0,0.0,Medio,22,22,237,0.586,0.871,-0.285,False
05079,BARBOSA,ANTIOQUIA,0.7338,0.0,0.0,Medio,26,26,297,0.608,0.895,-0.287,False
15187,CHIVATÁ,BOYACÁ,0.699,0.0,0.0,Medio,31,31,178,0.6,0.89,-0.29,False
05086,BELMIRA,ANTIOQUIA,0.691,0.0,0.0,Alto,48,48,103,0.598,0.888,-0.29,False
25839,UBALÁ,CUNDINAMARCA,0.7293,0.0,0.0,Alto,68,68,103,0.607,0.902,-0.295,False
54099,BOCHALEMA,NORTE DE SANTANDER,0.6772,0.0,0.0,Medio,27,27,222,0.592,0.888,-0.296,False
13042,ARENAL,BOLÍVAR,0.6495,0.0,0.0,Medio,25,25,208,0.583,0.879,-0.296,False
