Nombre,Área_Oficial__Ha_,centroid_x,centroid_y,Categoría,Territorial
Nevado del Huila,163923.69804413,-75.92319161,2.97973088,Parque Nacional Natural,Territorial Andes Occidentales
Poza Mansa De Pedro Palo,4.65984521,-74.38826676,4.69067373,Reserva Natural de la Sociedad Civil, 
Palmarito Casanare,2265.60672495,-71.63008289,4.84775043,Reserva Natural de la Sociedad Civil, 
Sanquianga,85504.75641691,-78.30317605,2.53889151,Parque Nacional Natural,Territorial Pacifico
Santa Fe,160.14506293,-75.64171468,8.37227585,Reserva Natural de la Sociedad Civil, 
Río Puré,970755.29030677,-70.0913608,-1.95898762,Parque Nacional Natural,Territorial Amazonia
Old Providence Mc Bean Lagoon,1643.39612301,-81.33537219,13.37176406,Parque Nacional Natural,Territorial Caribe
La Granja De Pedro Palo,11.12639154,-74.38289188,4.68665817,Reserva Natural de la Sociedad Civil, 
Paramillo,503965.3640728,-76.11992489,7.53180758,Parque Nacional Natural,Territorial Caribe
Plantas Medicinales Orito - Ingi Ande,10387.79466352,-77.09518565,0.7604729,Santuario de Flora,Territorial Amazonia
Pisba,35144.71631962,-72.569684,5.88295495,Parque Nacional Natural,Territorial Andes Nororientales
Puracé,92148.23046197,-76.42943161,2.12866128,Parque Nacional Natural,Territorial Andes Occidentales
La Finca De Pedro Palo,5.84107326,-74.38342609,4.69031708,Reserva Natural de la Sociedad Civil, 
Reserva El Caucho,2.82261353,-76.34319808,1.84333037,Reserva Natural de la Sociedad Civil, 
El Paraiso De Los Deseos,17.70728438,-76.13200966,8.6913646,Reserva Natural de la Sociedad Civil, 
La Cabaña de Pedro Palo,3.19870316,-74.38822383,4.6879467,Reserva Natural de la Sociedad Civil, 
Otún Quimbaya,451.53311349,-75.57595241,4.72078236,Santuario de Fauna y Flora,Territorial Andes Occidentales
Hostal De Pedro Palo,3.97199362,-74.38530067,4.6867854,Reserva Natural de la Sociedad Civil, 
Pantanillo,8.87407705,-73.62271096,5.79526158,Reserva Natural de la Sociedad Civil, 
Tatamá,43036.48867623,-76.11193574,5.11424777,Parque Nacional Natural,Territorial Andes Occidentales
Utria,64380.64679832,-77.26197396,5.99843023,Parque Nacional Natural,Territorial Pacifico
El Rincón,21.02907031,-77.31726636,1.13524471,Reserva Natural de la Sociedad Civil, 
Primavera 1,1.13441719,-76.4172711,1.94104787,Reserva Natural de la Sociedad Civil, 
De Las Mirabilis Swarovscki,156.53713308,-76.99307494,2.52681851,Reserva Natural de la Sociedad Civil, 
El Tigre,20.51010904,-76.414511,1.93537233,Reserva Natural de la Sociedad Civil, 
De Las Aves Colibrí Del Sol,1328.56838477,-76.0969973,6.43880632,Reserva Natural de la Sociedad Civil, 
Primavera 3,1.14367685,-76.41716155,1.94150507,Reserva Natural de la Sociedad Civil, 
Primavera 4,1.13196917,-76.41693139,1.94196099,Reserva Natural de la Sociedad Civil, 
Tenasucá De Pedro Palo,38.12283834,-74.3899846,4.69129993,Reserva Natural de la Sociedad Civil, 
Ayllu Del Río,3.08059989,-73.96853922,5.11822592,Reserva Natural de la Sociedad Civil, 
Bosques y Montes del Soche II,47.91999633,-74.31828207,4.53194891,Reserva Natural de la Sociedad Civil, 
Primavera Deyis,1.06829082,-76.41668041,1.94241016,Reserva Natural de la Sociedad Civil, 
Primavera Villanueva,1.14161203,-76.41636606,1.94288818,Reserva Natural de la Sociedad Civil, 
Kilimanjaro De Pedro Palo,3.30841027,-74.38582038,4.68867145,Reserva Natural de la Sociedad Civil, 
Primavera 5,2.21149263,-76.41453868,1.94320901,Reserva Natural de la Sociedad Civil, 
Las Aves Loro Orejiamarillo,60.01690998,-75.79819738,5.53715881,Reserva Natural de la Sociedad Civil, 
La Fernanda,12.93426052,-74.38029126,3.903686,Reserva Natural de la Sociedad Civil, 
Betania,67.5032626,-76.40551369,2.46147268,Reserva Natural de la Sociedad Civil, 
La Palma De Marbella,2.14353124,-76.41589534,1.94369244,Reserva Natural de la Sociedad Civil, 
Pintura,11.37527702,-75.14250344,9.91568832,Reserva Natural de la Sociedad Civil, 
El Hato,7.5482237,-74.37958362,3.90128839,Reserva Natural de la Sociedad Civil, 
La Iguana Verde,14.65513592,-74.17858739,11.16568004,Reserva Natural de la Sociedad Civil, 
Parcela No. 6,37.43103451,-76.51644475,2.36676846,Reserva Natural de la Sociedad Civil, 
Las Aves El Dorado,525.43641089,-74.07152754,11.11668394,Reserva Natural de la Sociedad Civil, 
La Estrella,12.41245282,-76.50817619,2.38484359,Reserva Natural de la Sociedad Civil, 
El Cedro,11.218035,-76.20289853,1.72040527,Reserva Natural de la Sociedad Civil, 
La Pradera,2.68815137,-76.42682384,2.93512471,Reserva Natural de la Sociedad Civil, 
Los Naranjos,6.66898381,-76.5370455,2.3907055,Reserva Natural de la Sociedad Civil, 
La Reserva,6.43034381,-74.38053345,3.90910818,Reserva Natural de la Sociedad Civil, 
Reserva Natural Horizontes,1625.42224589,-76.28750592,8.33369728,Reserva Natural de la Sociedad Civil, 
Villa Margarita,19.85040107,-75.66957166,2.98352757,Reserva Natural de la Sociedad Civil, 
Sauce,16.17096721,-76.52879803,2.39717866,Reserva Natural de la Sociedad Civil, 
Paz Verde,11.1111721,-74.3773533,3.90759559,Reserva Natural de la Sociedad Civil, 
Bosques y Montes de Soche,17.72132706,-74.31393011,4.53373091,Reserva Natural de la Sociedad Civil, 
Cordoba 1,0.58311493,-76.42793799,2.94983165,Reserva Natural de la Sociedad Civil, 
Reserva Miravalle,69.2011911,-76.59758756,3.26043563,Reserva Natural de la Sociedad Civil, 
Santa Elena,17.30446868,-76.52062529,2.39831249,Reserva Natural de la Sociedad Civil, 
El Umuy,9.93113256,-76.50911719,2.38922764,Reserva Natural de la Sociedad Civil, 
Campo Alegre,154.1712083,-76.32144836,8.79432527,Reserva Natural de la Sociedad Civil, 
El Pedregal,11.2597394,-74.37221648,3.89713982,Reserva Natural de la Sociedad Civil, 
Reserva Hídrica El Soche - San Rafael,176.3440813,-74.32718265,4.52969574,Reserva Natural de la Sociedad Civil, 
El Lucero,113.33039702,-73.92624183,10.15580154,Reserva Natural de la Sociedad Civil, 
Célula Verde,9.15335399,-74.12002851,4.89994142,Reserva Natural de la Sociedad Civil, 
Cusagui,13.67236627,-76.59440423,3.15991649,Reserva Natural de la Sociedad Civil, 
Aves de  El Paujil,1423.45344829,-74.24690908,6.03251072,Reserva Natural de la Sociedad Civil, 
La Cuchilla 2,2.36013355,-76.42985042,2.94237683,Reserva Natural de la Sociedad Civil, 
Las Golondrinas,32.18287811,-76.21916237,4.673317,Reserva Natural de la Sociedad Civil, 
Islandia,5.99958528,-74.40387529,3.99451552,Reserva Natural de la Sociedad Civil, 
La Argelia,9.63353274,-76.14037468,2.16046031,Reserva Natural de la Sociedad Civil, 
Villa de Santa Helena,17.1061663,-76.52828799,2.3793658,Reserva Natural de la Sociedad Civil, 
Villa del Monte,0.96755442,-73.33722704,6.14696853,Reserva Natural de la Sociedad Civil, 
Los Ciruelos,5.79197088,-76.524183,2.38319947,Reserva Natural de la Sociedad Civil, 
Piedra Sentada,1.76875893,-76.4294964,2.95128804,Reserva Natural de la Sociedad Civil, 
La Pradera,126.28110918,-74.40874876,3.98198644,Reserva Natural de la Sociedad Civil, 
La Estrella 2,10.63703848,-76.51219214,2.39094771,Reserva Natural de la Sociedad Civil, 
Ana María,22.43768585,-72.66406948,3.8471241,Reserva Natural de la Sociedad Civil, 
Bella Vista,1.78857321,-76.42496357,2.93983602,Reserva Natural de la Sociedad Civil, 
El Portal,14.19218492,-76.51233885,2.38594363,Reserva Natural de la Sociedad Civil, 
Finca Matesanto,798.84427845,-71.03501363,5.14454829,Reserva Natural de la Sociedad Civil, 
La Esperanza,23.87927799,-74.42830089,3.98392808,Reserva Natural de la Sociedad Civil, 
La Laguna,1.85864914,-76.58231301,3.49966043,Reserva Natural de la Sociedad Civil, 
La Pradera,6.99641897,-76.26850369,4.36770822,Reserva Natural de la Sociedad Civil, 
Buena Vista,13.56443294,-76.51234363,2.38183465,Reserva Natural de la Sociedad Civil, 
Chaparral,13.06144378,-74.37936199,3.90537846,Reserva Natural de la Sociedad Civil, 
Tierrablanca No 4,7.49238462,-76.67433118,3.73135955,Reserva Natural de la Sociedad Civil, 
El Cedral,15.22486639,-76.27041683,4.67250655,Reserva Natural de la Sociedad Civil, 
