cod_mpio,municipio,departamento,focos_7d,frp_total,idx_fuego,ultima_fecha
8606,REPELÓN,ATLÁNTICO,3,8.14,0.3072,2026-07-18
73152,CASABIANCA,TOLIMA,2,8.14,0.3072,2026-07-22
8436,MANATÍ,ATLÁNTICO,2,8.13,0.3071,2026-07-18
73678,SAN LUIS,TOLIMA,1,7.98,0.3048,2026-07-22
54673,SAN CAYETANO,NORTE DE SANTANDER,2,7.87,0.3031,2026-07-17
23182,CHINÚ,CÓRDOBA,1,7.81,0.3021,2026-07-18
73770,SUÁREZ,TOLIMA,1,7.79,0.3018,2026-07-15
52320,GUAITARILLA,NARIÑO,1,7.78,0.3016,2026-07-18
73067,ATACO,TOLIMA,1,7.77,0.3015,2026-07-15
23068,AYAPEL,CÓRDOBA,2,7.62,0.2991,2026-07-18
5150,CAROLINA,ANTIOQUIA,1,7.6,0.2988,2026-07-16
73275,FLANDES,TOLIMA,2,7.53,0.2976,2026-07-21
15646,SAMACÁ,BOYACÁ,6,7.41,0.2957,2026-07-22
73622,RONCESVALLES,TOLIMA,1,7.39,0.2953,2026-07-18
20770,SAN MARTÍN,CESAR,2,7.38,0.2952,2026-07-18
81591,PUERTO RONDÓN,ARAUCA,2,7.31,0.294,2026-07-17
19212,CORINTO,CAUCA,3,7.02,0.2891,2026-07-16
13160,CANTAGALLO,BOLÍVAR,1,6.89,0.2868,2026-07-17
25572,PUERTO SALGAR,CUNDINAMARCA,1,6.89,0.2868,2026-07-16
85430,TRINIDAD,CASANARE,1,6.87,0.2865,2026-07-15
41872,VILLAVIEJA,HUILA,1,6.86,0.2863,2026-07-17
5125,CAICEDO,ANTIOQUIA,1,6.85,0.2861,2026-07-18
41006,ACEVEDO,HUILA,1,6.53,0.2803,2026-07-21
70110,BUENAVISTA,SUCRE,1,6.4,0.2779,2026-07-17
47161,CERRO DE SAN ANTONIO,MAGDALENA,1,6.17,0.2735,2026-07-18
76275,FLORIDA,VALLE DEL CAUCA,2,6.01,0.2704,2026-07-22
13894,ZAMBRANO,BOLÍVAR,1,5.87,0.2676,2026-07-15
54800,TEORAMA,NORTE DE SANTANDER,1,5.8,0.2662,2026-07-21
70429,MAJAGUAL,SUCRE,2,5.74,0.2649,2026-07-18
47720,SANTA BÁRBARA DE PINTO,MAGDALENA,1,5.69,0.2639,2026-07-16
19743,SILVIA,CAUCA,1,5.6,0.262,2026-07-21
47288,FUNDACIÓN,MAGDALENA,2,5.48,0.2595,2026-07-17
73624,ROVIRA,TOLIMA,1,5.36,0.2569,2026-07-20
15215,CORRALES,BOYACÁ,3,5.09,0.2508,2026-07-22
5842,URAMITA,ANTIOQUIA,1,5.07,0.2504,2026-07-16
47258,EL PIÑÓN,MAGDALENA,2,5.04,0.2497,2026-07-17
47001,SANTA MARTA,MAGDALENA,1,4.99,0.2485,2026-07-21
20750,SAN DIEGO,CESAR,1,4.77,0.2434,2026-07-22
5361,ITUANGO,ANTIOQUIA,1,4.71,0.2419,2026-07-16
5237,DONMATÍAS,ANTIOQUIA,1,4.58,0.2387,2026-07-18
13440,MARGARITA,BOLÍVAR,2,4.57,0.2385,2026-07-17
41298,GARZÓN,HUILA,1,4.55,0.238,2026-07-17
5576,PUEBLORRICO,ANTIOQUIA,1,4.45,0.2354,2026-07-17
27086,BELEN DE BAJIRA,CHOCO,1,4.43,0.2349,2026-07-16
5885,YALÍ,ANTIOQUIA,1,4.37,0.2334,2026-07-18
47189,CIÉNAGA,MAGDALENA,1,4.35,0.2329,2026-07-15
5659,SAN JUAN DE URABÁ,ANTIOQUIA,1,4.33,0.2323,2026-07-18
19142,CALOTO,CAUCA,1,4.21,0.2292,2026-07-15
70713,SAN ONOFRE,SUCRE,1,4.16,0.2278,2026-07-17
8849,USIACURÍ,ATLÁNTICO,1,4.12,0.2268,2026-07-16
54398,LA PLAYA,NORTE DE SANTANDER,1,4.01,0.2237,2026-07-16
85010,AGUAZUL,CASANARE,1,3.97,0.2226,2026-07-16
76147,CARTAGO,VALLE DEL CAUCA,1,3.8,0.2178,2026-07-15
8141,CANDELARIA,ATLÁNTICO,1,3.7,0.2149,2026-07-17
44378,HATONUEVO,LA GUAJIRA,1,3.36,0.2044,2026-07-18
8549,PIOJÓ,ATLÁNTICO,1,3.32,0.2032,2026-07-16
73585,PURIFICACIÓN,TOLIMA,1,3.24,0.2006,2026-07-21
5789,TÁMESIS,ANTIOQUIA,1,3.08,0.1952,2026-07-18
68573,PUERTO PARRA,SANTANDER,1,3.02,0.1932,2026-07-16
8685,SANTO TOMÁS,ATLÁNTICO,1,2.98,0.1918,2026-07-16
5145,CARAMANTA,ANTIOQUIA,1,2.92,0.1897,2026-07-18
19824,TOTORÓ,CAUCA,2,2.83,0.1865,2026-07-22
5642,SALGAR,ANTIOQUIA,1,2.8,0.1854,2026-07-18
23574,PUERTO ESCONDIDO,CÓRDOBA,1,2.61,0.1782,2026-07-18
68418,LOS SANTOS,SANTANDER,1,2.61,0.1782,2026-07-20
70233,EL ROBLE,SUCRE,1,2.57,0.1767,2026-07-16
50711,VISTAHERMOSA,META,1,2.49,0.1735,2026-07-21
76890,YOTOCO,VALLE DEL CAUCA,1,2.49,0.1735,2026-07-19
17614,RIOSUCIO,CALDAS,1,2.37,0.1687,2026-07-16
54128,CÁCHIRA,NORTE DE SANTANDER,2,2.31,0.1662,2026-07-18
19513,PADILLA,CAUCA,1,2.26,0.1641,2026-07-15
47170,CHIVOLO,MAGDALENA,1,2.19,0.1611,2026-07-16
68406,LEBRIJA,SANTANDER,1,2.15,0.1593,2026-07-15
