cod_mpio,municipio,departamento,lat,lon,mineria_titulos,mineria_minerales,mineria_volumen,mineria_regalias,es_pdet,deforestacion_ha,agua_ica_medio,agua_estaciones,runap_areas,runap_hectareas,idx_minero,idx_deforestacion,idx_hidrico,idx_sensibilidad,riesgo_score,riesgo_nivel,hidrico_sin_dato
05318,GUARNE,ANTIOQUIA,6.27787,-75.441612,10,2,543.9,0.0,0,0,,0,5,12.2,0.4133,0.0,0.0,0.1649,0.1611,Bajo,1
05321,GUATAPÉ,ANTIOQUIA,6.232461,-75.160041,0,0,0,0,0,0,,0,6,18719.8,0.0,0.0,0.0,0.6289,0.0629,Bajo,1
05347,HELICONIA,ANTIOQUIA,6.206757,-75.734322,4,3,3657.4,2775.0,0,0,,0,1,28053.9,0.3647,0.0,0.0,0.6547,0.1931,Medio,1
05353,HISPANIA,ANTIOQUIA,5.799461,-75.906587,0,0,0,0,0,0,,0,1,3034.1,0.0,0.0,0.0,0.5126,0.0513,Bajo,1
05360,ITAGÜÍ,ANTIOQUIA,6.175079,-75.612056,3,2,305.6,0.0,0,0,,0,1,55.6,0.2467,0.0,0.0,0.258,0.1121,Bajo,1
05361,ITUANGO,ANTIOQUIA,7.171629,-75.764673,0,0,4390.0,1323.0,1,0,,0,1,355.9,0.2846,0.0,0.0,0.6257,0.1622,Bajo,1
05364,JARDÍN,ANTIOQUIA,5.597542,-75.818982,0,0,2370.8,0.0,0,0,,0,13,29605.8,0.2053,0.0,0.0,0.6582,0.1377,Bajo,1
05368,JERICÓ,ANTIOQUIA,5.789748,-75.785499,0,0,0,0,0,0,,0,2,4189.5,0.0,0.0,0.0,0.5332,0.0533,Bajo,1
05376,LA CEJA,ANTIOQUIA,6.028062,-75.429433,10,3,878.1,0.0,0,0,,0,2,478.1,0.4181,0.0,0.0,0.3946,0.1858,Bajo,1
05380,LA ESTRELLA,ANTIOQUIA,6.145238,-75.637708,4,3,0.2,424.0,0,0,,0,1,21.5,0.2719,0.0,0.0,0.199,0.1151,Bajo,1
05390,LA PINTADA,ANTIOQUIA,5.743808,-75.60781,14,5,32008.4,715.0,0,0,0.63,2,6,539.1,0.6505,0.0,0.37,0.4022,0.3604,Crítico,0
05400,LA UNIÓN,ANTIOQUIA,5.973845,-75.360874,16,3,1993.8,546.0,0,0,,0,4,30120.5,0.4974,0.0,0.0,0.6593,0.24,Medio,1
05411,LIBORINA,ANTIOQUIA,6.677316,-75.812838,0,0,1033.6,0.0,0,0,,0,0,0,0.1199,0.0,0.0,0.0,0.042,Bajo,1
05425,MACEO,ANTIOQUIA,6.552116,-74.78716,13,9,8557.7,2187.0,0,0,,0,2,8206.3,0.5265,0.0,0.0,0.5762,0.2419,Medio,1
05440,MARINILLA,ANTIOQUIA,6.173995,-75.339345,1,1,0.0,0.0,0,0,0.635,2,0,0,0.1171,0.0,0.365,0.0,0.1322,Bajo,0
