cod_mpio,municipio,nivel_predicho,conjunto_conformal,tamano_conjunto,certeza_calibrada
15814,TOCA,Bajo,Bajo,1,Alta
15816,TOGÜÍ,Bajo,Bajo,1,Alta
15820,TÓPAGA,Alto,Alto,1,Alta
15822,TOTA,Bajo,Bajo,1,Alta
15832,TUNUNGUÁ,Bajo,Bajo,1,Alta
15835,TURMEQUÉ,Bajo,Bajo,1,Alta
15837,TUTA,Medio,Medio,1,Alta
15839,TUTAZÁ,Bajo,Bajo,1,Alta
15842,ÚMBITA,Medio,Medio,1,Alta
15861,VENTAQUEMADA,Alto,Alto,1,Alta
15879,VIRACACHÁ,Bajo,Bajo,1,Alta
15897,ZETAQUIRA,Bajo,Bajo,1,Alta
17001,MANIZALES,Crítico,Crítico,1,Alta
17013,AGUADAS,Medio,Medio,1,Alta
17042,ANSERMA,Medio,Medio,1,Alta
17050,ARANZAZU,Bajo,Bajo,1,Alta
17088,BELALCÁZAR,Bajo,Bajo,1,Alta
17174,CHINCHINÁ,Medio,Medio,1,Alta
17272,FILADELFIA,Bajo,Bajo,1,Alta
17380,LA DORADA,Medio,Medio / Alto,2,Media
17388,LA MERCED,Medio,Medio,1,Alta
17433,MANZANARES,Bajo,Bajo,1,Alta
17442,MARMATO,Medio,Medio,1,Alta
17444,MARQUETALIA,Bajo,Bajo,1,Alta
17446,MARULANDA,Bajo,Bajo,1,Alta
17486,NEIRA,Medio,Medio,1,Alta
17495,NORCASIA,Medio,Medio,1,Alta
17513,PÁCORA,Bajo,Bajo,1,Alta
17524,PALESTINA,Medio,Medio,1,Alta
17541,PENSILVANIA,Bajo,Bajo,1,Alta
17614,RIOSUCIO,Bajo,Bajo,1,Alta
17616,RISARALDA,Bajo,Bajo,1,Alta
17653,SALAMINA,Bajo,Bajo,1,Alta
17662,SAMANÁ,Bajo,Bajo,1,Alta
17665,SAN JOSÉ,Bajo,Bajo,1,Alta
17777,SUPÍA,Medio,Medio,1,Alta
17867,VICTORIA,Medio,Medio,1,Alta
17873,VILLAMARÍA,Alto,Alto,1,Alta
17877,VITERBO,Medio,Medio,1,Alta
18001,FLORENCIA,Alto,Alto,1,Alta
18029,ALBANIA,Medio,Medio,1,Alta
18094,BELÉN DE LOS ANDAQUÍES,Crítico,Crítico,1,Alta
18150,CARTAGENA DEL CHAIRÁ,Medio,Medio,1,Alta
18205,CURILLO,Bajo,Bajo,1,Alta
18247,EL DONCELLO,Alto,Alto,1,Alta
18256,EL PAUJÍL,Crítico,Crítico,1,Alta
18410,LA MONTAÑITA,Alto,Alto,1,Alta
18460,MILÁN,Bajo,Bajo,1,Alta
18479,MORELIA,Alto,Alto,1,Alta
18592,PUERTO RICO,Medio,Medio,1,Alta
18610,SAN JOSÉ DEL FRAGUA,Alto,Alto,1,Alta
18753,SAN VICENTE DEL CAGUÁN,Crítico,Crítico,1,Alta
18756,SOLANO,Crítico,Crítico,1,Alta
18785,SOLITA,Bajo,Bajo,1,Alta
18860,VALPARAÍSO,Medio,Medio,1,Alta
19001,POPAYÁN,Crítico,Crítico,1,Alta
19022,ALMAGUER,Bajo,Bajo,1,Alta
19050,ARGELIA,Bajo,Bajo,1,Alta
19075,BALBOA,Bajo,Bajo,1,Alta
19100,BOLÍVAR,Medio,Medio,1,Alta
19110,BUENOS AIRES,Alto,Alto,1,Alta
19130,CAJIBÍO,Alto,Alto,1,Alta
19137,CALDONO,Medio,Medio,1,Alta
19142,CALOTO,Alto,Alto,1,Alta
19212,CORINTO,Medio,Medio,1,Alta
19256,EL TAMBO,Crítico,Crítico,1,Alta
19290,FLORENCIA,Bajo,Bajo,1,Alta
19300,GUACHENÉ,Medio,Medio,1,Alta
19318,GUAPI,Medio,Medio,1,Alta
19355,INZÁ,Bajo,Bajo,1,Alta
19364,JAMBALÓ,Bajo,Bajo,1,Alta
19392,LA SIERRA,Bajo,Bajo,1,Alta
19397,LA VEGA,Bajo,Bajo,1,Alta
19418,LÓPEZ DE MICAY,Medio,Medio,1,Alta
19450,MERCADERES,Alto,Alto,1,Alta
19455,MIRANDA,Bajo,Bajo,1,Alta
19473,MORALES,Medio,Medio,1,Alta
19513,PADILLA,Bajo,Bajo,1,Alta
19517,PÁEZ,Alto,Alto,1,Alta
19532,PATÍA,Medio,Medio,1,Alta
19533,PIAMONTE,Crítico,Crítico,1,Alta
19548,PIENDAMÓ - TUNÍA,Bajo,Bajo,1,Alta
19573,PUERTO TEJADA,Alto,Alto,1,Alta
19585,PURACÉ,Bajo,Bajo,1,Alta
19622,ROSAS,Bajo,Bajo,1,Alta
19693,SAN SEBASTIÁN,Bajo,Bajo,1,Alta
19698,SANTANDER DE QUILICHAO,Medio,Medio,1,Alta
19701,SANTA ROSA,Crítico,Crítico,1,Alta
19743,SILVIA,Bajo,Bajo,1,Alta
19760,SOTARÁ - PAISPAMBA,Medio,Medio,1,Alta
19780,SUÁREZ,Medio,Medio,1,Alta
19785,SUCRE,Bajo,Bajo,1,Alta
19807,TIMBÍO,Bajo,Bajo,1,Alta
19809,TIMBIQUÍ,Crítico,Crítico,1,Alta
19821,TORIBÍO,Medio,Medio,1,Alta
19824,TOTORÓ,Bajo,Bajo,1,Alta
19845,VILLA RICA,Medio,Medio,1,Alta
20001,VALLEDUPAR,Crítico,Crítico,1,Alta
20011,AGUACHICA,Medio,Medio,1,Alta
20013,AGUSTÍN CODAZZI,Medio,Medio,1,Alta
20032,ASTREA,Medio,Medio,1,Alta
20045,BECERRIL,Alto,Alto,1,Alta
20060,BOSCONIA,Alto,Alto,1,Alta
20175,CHIMICHAGUA,Crítico,Crítico,1,Alta
20178,CHIRIGUANÁ,Crítico,Crítico,1,Alta
20228,CURUMANÍ,Crítico,Crítico,1,Alta
20238,EL COPEY,Alto,Alto,1,Alta
20250,EL PASO,Alto,Alto,1,Alta
20295,GAMARRA,Medio,Medio,1,Alta
20310,GONZÁLEZ,Bajo,Bajo,1,Alta
20383,LA GLORIA,Medio,Medio,1,Alta
20400,LA JAGUA DE IBIRICO,Alto,Alto,1,Alta
20443,MANAURE BALCÓN DEL CESAR,Alto,Alto,1,Alta
20517,PAILITAS,Medio,Medio,1,Alta
20550,PELAYA,Alto,Alto,1,Alta
