cod_mpio,municipio,departamento,lat,lon,mineria_titulos,mineria_minerales,mineria_volumen,mineria_regalias,es_pdet,deforestacion_ha,agua_ica_medio,agua_estaciones,runap_areas,runap_hectareas
05792,TARSO,ANTIOQUIA,5.864542,-75.822956,2,2,1742.0,0.0,0,0,0.69,1,2,55.3
05809,TITIRIBÍ,ANTIOQUIA,6.062391,-75.791887,45,12,4940.2,311.0,0,0,,0,2,1207.9
05819,TOLEDO,ANTIOQUIA,7.010328,-75.692281,3,1,5010.6,845.0,0,0,,0,0,0
05837,TURBO,ANTIOQUIA,8.089929,-76.728858,4,2,2626.0,0.0,1,0,,0,0,0
05842,URAMITA,ANTIOQUIA,6.898393,-76.173284,1,1,1138.0,0.0,0,0,,0,0,0
05847,URRAO,ANTIOQUIA,6.317343,-76.133951,0,0,5521.2,982.0,0,0,,0,4,30041.9
05854,VALDIVIA,ANTIOQUIA,7.1652,-75.439274,4,2,38984.9,1213.0,1,0,,0,1,23525.5
05856,VALPARAÍSO,ANTIOQUIA,5.614555,-75.624452,9,5,4113.4,618.0,0,0,,0,1,218.4
05858,VEGACHÍ,ANTIOQUIA,6.773525,-74.798714,5,2,27397.3,309.0,0,0,,0,0,0
05861,VENECIA,ANTIOQUIA,5.964693,-75.735544,18,6,7316.2,67.0,0,0,,0,0,0
05873,VIGÍA DEL FUERTE,ANTIOQUIA,6.588164,-76.896004,0,0,2122.7,728.0,1,0,,0,0,0
05885,YALÍ,ANTIOQUIA,6.676554,-74.840059,3,3,53918.5,2700.0,0,0,,0,0,0
05887,YARUMAL,ANTIOQUIA,6.963832,-75.418828,4,2,29316.4,303.0,0,0,,0,0,0
05890,YOLOMBÓ,ANTIOQUIA,6.594511,-75.013385,32,13,37848.3,4897.0,0,0,,0,0,0
05893,YONDÓ,ANTIOQUIA,7.00396,-73.912445,3,3,1172.0,0.0,1,0,,0,0,0
05895,ZARAGOZA,ANTIOQUIA,7.488583,-74.867075,40,6,4352.5,1232.0,1,0,,0,1,75760.0
08001,BARRANQUILLA,ATLÁNTICO,10.977961,-74.815546,23,6,3501.6,421.0,0,0,0.661,6,0,0
08078,BARANOA,ATLÁNTICO,10.79445,-74.916077,2,2,0.0,0.0,0,0,,0,0,0
08137,CAMPO DE LA CRUZ,ATLÁNTICO,10.378291,-74.880847,0,0,0,0,0,0,,0,0,0
08141,CANDELARIA,ATLÁNTICO,10.461903,-74.879717,0,0,0.0,0.0,0,0,,0,0,0
08296,GALAPA,ATLÁNTICO,10.919033,-74.870385,1,1,740.0,0.0,0,0,,0,0,0
08372,JUAN DE ACOSTA,ATLÁNTICO,10.83254,-75.041032,4,3,2891.0,0.0,0,0,,0,0,0
08421,LURUACO,ATLÁNTICO,10.610491,-75.14199,45,5,8165.2,0.0,0,0,,0,2,4023.2
08433,MALAMBO,ATLÁNTICO,10.857086,-74.776923,0,0,310.0,0.0,0,0,,0,0,0
08436,MANATÍ,ATLÁNTICO,10.449089,-74.956867,10,4,701.0,0.0,0,0,,0,0,0
08520,PALMAR DE VARELA,ATLÁNTICO,10.738591,-74.754765,8,2,3512.5,0.0,0,0,,0,0,0
