cod_dane_mpio,nombre_mpio,nombre_dpto,score_prioridad_evidencia,nivel_prioridad,score_brecha_informacion,principales_razones,advertencias_datos,resumen_explicativo,anomaly_score_raw,anomalia_ia_percentil,es_perfil_atipico,explicacion_anomalia
41518,PAICOL,HUILA,58.98,Media,50.0,2.1% del territorio titulado (13 títulos mineros); sin monitoreo hídrico evaluable,cobertura hídrica limitada o ausente; sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación); cobertura de datos limitada — interpretar con cautela,Prioridad media (percentil 61): 2.1% del territorio titulado (13 títulos mineros); sin monitoreo hídrico evaluable.,0.3860780595065182,51.43,False,Perfil dentro del rango esperado
66572,PUEBLO RICO,RISARALDA,58.94,Media,50.0,0.8% del territorio titulado (2 títulos mineros); sin monitoreo hídrico evaluable; 8 detecciones tempranas DTD en 0 núcleo(s) (2025-IV),cobertura hídrica limitada o ausente; sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación); cobertura de datos limitada — interpretar con cautela,Prioridad media (percentil 61): 0.8% del territorio titulado (2 títulos mineros); sin monitoreo hídrico evaluable; 8 detecciones tempranas DTD en 0 núcleo(s) (2025-IV).,0.4255927613719238,62.39,False,Perfil dentro del rango esperado
25430,MADRID,CUNDINAMARCA,58.71,Media,50.0,4.3% del territorio titulado (5 títulos mineros); sin monitoreo hídrico evaluable,cobertura hídrica limitada o ausente; sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación); cobertura de datos limitada — interpretar con cautela,Prioridad media (percentil 61): 4.3% del territorio titulado (5 títulos mineros); sin monitoreo hídrico evaluable.,0.36166405715547056,38.15,False,Perfil dentro del rango esperado
15842,ÚMBITA,BOYACÁ,58.69,Media,50.0,6.0% del territorio titulado (5 títulos mineros); sin monitoreo hídrico evaluable,cobertura hídrica limitada o ausente; sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación); cobertura de datos limitada — interpretar con cautela,Prioridad media (percentil 61): 6.0% del territorio titulado (5 títulos mineros); sin monitoreo hídrico evaluable.,0.3653172627455248,41.44,False,Perfil dentro del rango esperado
13657,SAN JUAN NEPOMUCENO,BOLÍVAR,58.68,Media,50.0,0.5% del territorio titulado (3 títulos mineros); sin monitoreo hídrico evaluable; 15 detecciones tempranas DTD en 0 núcleo(s) (2025-IV),cobertura hídrica limitada o ausente; sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación); cobertura de datos limitada — interpretar con cautela,Prioridad media (percentil 61): 0.5% del territorio titulado (3 títulos mineros); sin monitoreo hídrico evaluable; 15 detecciones tempranas DTD en 0 núcleo(s) (2025-IV).,0.43823844225356273,67.74,False,Perfil dentro del rango esperado
15047,AQUITANIA,BOYACÁ,58.68,Media,25.0,0.2% del territorio titulado (2 títulos mineros); anomalía hídrica en CROMO POTENCIALMENTE BIODISPONIBLE (percentil 95),sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación),Prioridad media (percentil 61): 0.2% del territorio titulado (2 títulos mineros); anomalía hídrica en CROMO POTENCIALMENTE BIODISPONIBLE (percentil 95).,0.520001641856109,81.73,False,Perfil dentro del rango esperado
25645,SAN ANTONIO DEL TEQUENDAMA,CUNDINAMARCA,58.68,Media,50.0,5.8% del territorio titulado (5 títulos mineros); sin monitoreo hídrico evaluable,cobertura hídrica limitada o ausente; sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación); cobertura de datos limitada — interpretar con cautela,Prioridad media (percentil 61): 5.8% del territorio titulado (5 títulos mineros); sin monitoreo hídrico evaluable.,0.3657720909549963,41.89,False,Perfil dentro del rango esperado
54128,CÁCHIRA,NORTE DE SANTANDER,58.57,Media,50.0,0.9% del territorio titulado (2 títulos mineros); sin monitoreo hídrico evaluable; 15 detecciones tempranas DTD en 0 núcleo(s) (2025-IV),cobertura hídrica limitada o ausente; sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación); cobertura de datos limitada — interpretar con cautela,Prioridad media (percentil 61): 0.9% del territorio titulado (2 títulos mineros); sin monitoreo hídrico evaluable; 15 detecciones tempranas DTD en 0 núcleo(s) (2025-IV).,0.44360376035467364,69.16,False,Perfil dentro del rango esperado
15804,TIBANÁ,BOYACÁ,58.51,Media,50.0,9.4% del territorio titulado (4 títulos mineros); sin monitoreo hídrico evaluable,cobertura hídrica limitada o ausente; sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación); cobertura de datos limitada — interpretar con cautela,Prioridad media (percentil 61): 9.4% del territorio titulado (4 títulos mineros); sin monitoreo hídrico evaluable.,0.3872311553136348,52.05,False,Perfil dentro del rango esperado
25807,TIBIRITA,CUNDINAMARCA,58.5,Media,50.0,7.4% del territorio titulado (4 títulos mineros); sin monitoreo hídrico evaluable,cobertura hídrica limitada o ausente; sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación); cobertura de datos limitada — interpretar con cautela,Prioridad media (percentil 61): 7.4% del territorio titulado (4 títulos mineros); sin monitoreo hídrico evaluable.,0.3752657929985193,46.43,False,Perfil dentro del rango esperado
05368,JERICÓ,ANTIOQUIA,58.48,Media,50.0,19.0% del territorio titulado (2 títulos mineros); sin monitoreo hídrico evaluable,cobertura hídrica limitada o ausente; sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación); cobertura de datos limitada — interpretar con cautela,Prioridad media (percentil 60): 19.0% del territorio titulado (2 títulos mineros); sin monitoreo hídrico evaluable.,0.4587025705600355,72.01,False,Perfil dentro del rango esperado
17088,BELALCÁZAR,CALDAS,58.36,Media,50.0,3.3% del territorio titulado (6 títulos mineros); sin monitoreo hídrico evaluable,cobertura hídrica limitada o ausente; sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación); cobertura de datos limitada — interpretar con cautela,Prioridad media (percentil 60): 3.3% del territorio titulado (6 títulos mineros); sin monitoreo hídrico evaluable.,0.3634592781872067,39.84,False,Perfil dentro del rango esperado
15377,LABRANZAGRANDE,BOYACÁ,58.33,Media,50.0,0.3% del territorio titulado (6 títulos mineros); sin monitoreo hídrico evaluable; 3 detecciones tempranas DTD en 0 núcleo(s) (2025-IV),cobertura hídrica limitada o ausente; sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación); cobertura de datos limitada — interpretar con cautela,Prioridad media (percentil 60): 0.3% del territorio titulado (6 títulos mineros); sin monitoreo hídrico evaluable; 3 detecciones tempranas DTD en 0 núcleo(s) (2025-IV).,0.41693981476268327,59.89,False,Perfil dentro del rango esperado
50606,RESTREPO,META,58.26,Media,50.0,2.0% del territorio titulado (9 títulos mineros); sin monitoreo hídrico evaluable,cobertura hídrica limitada o ausente; sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación); cobertura de datos limitada — interpretar con cautela,Prioridad media (percentil 60): 2.0% del territorio titulado (9 títulos mineros); sin monitoreo hídrico evaluable.,0.37304582232956024,45.37,False,Perfil dentro del rango esperado
19022,ALMAGUER,CAUCA,58.13,Media,50.0,2.8% del territorio titulado (5 títulos mineros); sin monitoreo hídrico evaluable,cobertura hídrica limitada o ausente; sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación); cobertura de datos limitada — interpretar con cautela,Prioridad media (percentil 60): 2.8% del territorio titulado (5 títulos mineros); sin monitoreo hídrico evaluable.,0.3563340537453388,12.08,False,Perfil dentro del rango esperado
68147,CAPITANEJO,SANTANDER,58.05,Media,50.0,7.0% del territorio titulado (4 títulos mineros); sin monitoreo hídrico evaluable,cobertura hídrica limitada o ausente; sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación); cobertura de datos limitada — interpretar con cautela,Prioridad media (percentil 60): 7.0% del territorio titulado (4 títulos mineros); sin monitoreo hídrico evaluable.,0.37102680291188916,44.65,False,Perfil dentro del rango esperado
44430,MAICAO,LA GUAJIRA,58.05,Media,25.0,0.3% del territorio titulado (1 títulos mineros); anomalía hídrica en CONDUCTIVIDAD ELECTRICA (percentil 90),sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación),Prioridad media (percentil 60): 0.3% del territorio titulado (1 títulos mineros); anomalía hídrica en CONDUCTIVIDAD ELECTRICA (percentil 90).,0.5582133060942398,88.32,False,Perfil dentro del rango esperado
05483,NARIÑO,ANTIOQUIA,58.03,Media,50.0,8.3% del territorio titulado (4 títulos mineros); sin monitoreo hídrico evaluable,cobertura hídrica limitada o ausente; sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación); cobertura de datos limitada — interpretar con cautela,Prioridad media (percentil 60): 8.3% del territorio titulado (4 títulos mineros); sin monitoreo hídrico evaluable.,0.3797014877846708,47.68,False,Perfil dentro del rango esperado
73483,NATAGAIMA,TOLIMA,58.02,Media,25.0,1.9% del territorio titulado (3 títulos mineros); anomalía hídrica en ALUMINIO TOTAL EN AGUA (percentil 72),sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación),Prioridad media (percentil 60): 1.9% del territorio titulado (3 títulos mineros); anomalía hídrica en ALUMINIO TOTAL EN AGUA (percentil 72).,0.5961889094410711,92.51,True,Perfil atípico por: score_senal_hidrica (z=-4.8); n_parametros_hidricos_evaluables (z=+2.8)
25785,TABIO,CUNDINAMARCA,57.9,Media,50.0,7.2% del territorio titulado (3 títulos mineros); sin monitoreo hídrico evaluable,cobertura hídrica limitada o ausente; sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación); cobertura de datos limitada — interpretar con cautela,Prioridad media (percentil 60): 7.2% del territorio titulado (3 títulos mineros); sin monitoreo hídrico evaluable.,0.3784599655164435,47.59,False,Perfil dentro del rango esperado
13062,ARROYOHONDO,BOLÍVAR,57.89,Media,50.0,7.2% del territorio titulado (4 títulos mineros); sin monitoreo hídrico evaluable,cobertura hídrica limitada o ausente; sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación); cobertura de datos limitada — interpretar con cautela,Prioridad media (percentil 60): 7.2% del territorio titulado (4 títulos mineros); sin monitoreo hídrico evaluable.,0.3728076376613726,45.1,False,Perfil dentro del rango esperado
08520,PALMAR DE VARELA,ATLÁNTICO,57.84,Media,50.0,4.9% del territorio titulado (5 títulos mineros); sin monitoreo hídrico evaluable,cobertura hídrica limitada o ausente; sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación); cobertura de datos limitada — interpretar con cautela,Prioridad media (percentil 59): 4.9% del territorio titulado (5 títulos mineros); sin monitoreo hídrico evaluable.,0.36397600854451706,40.55,False,Perfil dentro del rango esperado
76113,BUGALAGRANDE,VALLE DEL CAUCA,57.73,Media,50.0,1.5% del territorio titulado (10 títulos mineros); sin monitoreo hídrico evaluable,cobertura hídrica limitada o ausente; sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación); cobertura de datos limitada — interpretar con cautela,Prioridad media (percentil 59): 1.5% del territorio titulado (10 títulos mineros); sin monitoreo hídrico evaluable.,0.3815217768560066,48.84,False,Perfil dentro del rango esperado
73870,VILLAHERMOSA,TOLIMA,57.72,Media,50.0,6.8% del territorio titulado (3 títulos mineros); sin monitoreo hídrico evaluable,cobertura hídrica limitada o ausente; sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación); cobertura de datos limitada — interpretar con cautela,Prioridad media (percentil 59): 6.8% del territorio titulado (3 títulos mineros); sin monitoreo hídrico evaluable.,0.3769301156580896,46.97,False,Perfil dentro del rango esperado
47053,ARACATACA,MAGDALENA,57.68,Media,25.0,0.0% del territorio titulado (1 títulos mineros); anomalía hídrica en PLOMO POTENCIALMENTE BIODISPONIBLE (percentil 77); 2 detecciones tempranas DTD en 0 núcleo(s) (2025-IV),sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación),Prioridad media (percentil 59): 0.0% del territorio titulado (1 títulos mineros); anomalía hídrica en PLOMO POTENCIALMENTE BIODISPONIBLE (percentil 77); 2 detecciones tempranas DTD en 0 núcleo(s) (2025-IV).,0.6224591877004126,96.35,True,Perfil atípico por: score_senal_hidrica (z=-3.5); n_sitios_monitoreo (z=+2.9)
25845,UNE,CUNDINAMARCA,57.67,Media,25.0,1.3% del territorio titulado (2 títulos mineros); anomalía hídrica en TEMPERATURA (percentil 78),sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación),Prioridad media (percentil 59): 1.3% del territorio titulado (2 títulos mineros); anomalía hídrica en TEMPERATURA (percentil 78).,0.5568900843820805,88.06,False,Perfil dentro del rango esperado
73686,SANTA ISABEL,TOLIMA,57.66,Media,50.0,3.3% del territorio titulado (5 títulos mineros); sin monitoreo hídrico evaluable,cobertura hídrica limitada o ausente; sin cobertura forestal nacional confirmada en el MVP (no equivale a cero deforestación); cobertura de datos limitada — interpretar con cautela,Prioridad media (percentil 59): 3.3% del territorio titulado (5 títulos mineros); sin monitoreo hídrico evaluable.,0.35955941065351665,36.19,False,Perfil dentro del rango esperado
