cod_dane_mpio,cod_dane_dpto,nombre_mpio,nombre_dpto,tipo_unidad_territorial,n_titulos_mineros,tiene_titulos_mineros,area_titulada_union_ha,pct_area_unidad_titulada_union,area_titulada_suma_ha,anotaciones_total,n_modalidades_distintas,n_minerales_distintos,score_presion_minera,score_senal_hidrica,n_parametros_hidricos_evaluables,principal_parametro_atipico,tiene_monitoreo_agua,n_sitios_monitoreo,ultima_observacion_agua,monitoreo_reciente,brecha_monitoreo_agua,n_registros_dtd,n_coordenadas_dtd_unicas,n_nucleos_dtd,n_registros_dtd_codigo_placeholder,tiene_dtd_reciente,score_deteccion_temprana,bosque_2024_ha,no_bosque_2024_ha,pct_bosque_2024,deforestacion_2023_2024_ha,fuente_forestal,cobertura_forestal_confirmada_mvp,disponible_mineria,disponible_agua,disponible_dtd,disponible_bosque_confirmado,n_componentes_disponibles,nivel_disponibilidad_datos,score_brecha_informacion
05308,05,GIRARDOTA,ANTIOQUIA,Municipio,16,True,955.4140559179308,11.53466725613314,955.4266625222642,90,4,15,86.36,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05310,05,GÓMEZ PLATA,ANTIOQUIA,Municipio,11,True,4254.200636890801,12.81265433477408,4254.200636890799,58,2,8,83.5,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05313,05,GRANADA,ANTIOQUIA,Municipio,2,True,535.1258647655866,2.8147011072294017,535.1258647655864,5,1,9,51.58,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05315,05,GUADALUPE,ANTIOQUIA,Municipio,4,True,1302.1709382941165,11.021458975620767,1302.1709645868395,19,1,5,70.84,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05318,05,GUARNE,ANTIOQUIA,Municipio,2,True,10.444889649729877,0.0688122262434997,10.444889649729864,11,2,5,36.43,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05321,05,GUATAPÉ,ANTIOQUIA,Municipio,0,False,0.0,0.0,0.0,0,0,0,12.11,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05347,05,HELICONIA,ANTIOQUIA,Municipio,5,True,478.12540729760696,4.162431931954451,478.125407297607,16,1,8,64.3,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05353,05,HISPANIA,ANTIOQUIA,Municipio,0,False,0.0,0.0,0.0,0,0,0,12.11,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05360,05,ITAGÜÍ,ANTIOQUIA,Municipio,6,True,66.76305222822224,3.3985181679358045,66.76305222822224,27,2,10,66.52,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05361,05,ITUANGO,ANTIOQUIA,Municipio,4,True,4125.568738053623,1.452235066262987,4125.568738053623,27,2,4,57.09,,,,False,0,,False,True,8,8,0,0,True,77.3,,,,,,False,True,False,True,False,2,medio,50.0
05364,05,JARDÍN,ANTIOQUIA,Municipio,1,True,1154.341384188586,5.73792420328095,1154.341384188586,7,1,2,54.25,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05368,05,JERICÓ,ANTIOQUIA,Municipio,2,True,3888.82646176612,18.97254755161596,3888.8264617661175,16,1,9,68.59,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05376,05,LA CEJA,ANTIOQUIA,Municipio,4,True,76.57575883728556,0.5772039663416515,76.57575883728558,21,2,11,50.26,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05380,05,LA ESTRELLA,ANTIOQUIA,Municipio,2,True,160.22145094193712,4.354713261009359,160.22145094193712,18,2,8,59.04,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05390,05,LA PINTADA,ANTIOQUIA,Municipio,4,True,13.757386055401993,0.2534394466568621,13.757386055401993,18,1,8,46.1,97.06,31.0,PLOMO POTENCIALMENTE BIODISPONIBLE,True,2,2024.0,True,False,0,0,0,0,False,42.3,,,,,,False,True,True,True,False,3,alto,25.0
05400,05,LA UNIÓN,ANTIOQUIA,Municipio,20,True,3254.2234536504347,19.4084624605612,3279.4702815334954,88,5,25,90.36,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05411,05,LIBORINA,ANTIOQUIA,Municipio,3,True,771.5039760842647,3.5653935956883696,771.5039760842647,16,2,9,59.57,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05425,05,MACEO,ANTIOQUIA,Municipio,15,True,7338.880315407492,16.1198749208216,7338.880315407496,98,2,33,88.16,,,,False,0,,False,True,1,1,0,0,True,70.59,,,,,,False,True,False,True,False,2,medio,50.0
05440,05,MARINILLA,ANTIOQUIA,Municipio,3,True,541.9105685455048,4.828311303184512,541.9105685455054,11,2,8,60.52,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05467,05,MONTEBELLO,ANTIOQUIA,Municipio,4,True,3362.689298253444,44.24690407647724,3362.6892982534423,22,2,11,78.02,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05475,05,MURINDÓ,ANTIOQUIA,Municipio,29,True,24043.36749742304,18.97972081363432,24043.37567305908,239,2,18,93.58,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05480,05,MUTATÁ,ANTIOQUIA,Municipio,14,True,13423.793787664334,12.487005003868964,13424.024748498508,50,2,19,84.14,,,,False,0,,False,True,13,13,0,0,True,79.26,,,,,,False,True,False,True,False,2,medio,50.0
05483,05,NARIÑO,ANTIOQUIA,Municipio,4,True,2625.2566535796386,8.291928432486358,2625.256779220452,14,4,12,67.86,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05490,05,NECOCLÍ,ANTIOQUIA,Municipio,2,True,1183.0311471134105,0.9420047876116664,1183.0311471134096,10,2,10,46.05,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05495,05,NECHÍ,ANTIOQUIA,Municipio,12,True,23241.29917571935,24.814952168311752,23241.29917571934,104,4,8,89.62,94.3,26.0,PLOMO POTENCIALMENTE BIODISPONIBLE,True,1,2023.0,True,False,36,36,0,0,True,82.1,,,,,,False,True,True,True,False,3,alto,25.0
05501,05,OLAYA,ANTIOQUIA,Municipio,2,True,95.23393022085284,1.0949713105583474,95.2339302208528,18,1,7,49.02,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05541,05,PEÑOL,ANTIOQUIA,Municipio,0,False,0.0,0.0,0.0,0,0,0,12.11,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05543,05,PEQUE,ANTIOQUIA,Municipio,0,False,0.0,0.0,0.0,0,0,0,12.11,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05576,05,PUEBLORRICO,ANTIOQUIA,Municipio,0,False,0.0,0.0,0.0,0,0,0,12.11,52.19,9.0,OXIGENO DISUELTO OD,True,1,2015.0,False,True,0,0,0,0,False,42.3,,,,,,False,True,True,True,False,3,alto,25.0
05579,05,PUERTO BERRÍO,ANTIOQUIA,Municipio,34,True,18212.517109332777,14.941215462375732,18212.548606513385,187,4,31,92.36,,,,False,0,,False,True,10,10,0,0,True,78.55,,,,,,False,True,False,True,False,2,medio,50.0
05585,05,PUERTO NARE,ANTIOQUIA,Municipio,15,True,11745.834720395656,20.28410026815951,11745.834720395658,112,2,13,89.92,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05591,05,PUERTO TRIUNFO,ANTIOQUIA,Municipio,19,True,2282.628270449226,6.181436435051249,2282.783663676095,141,2,25,83.73,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05604,05,REMEDIOS,ANTIOQUIA,Municipio,128,True,43660.91266546115,22.21931312194846,43660.92249525304,830,5,40,96.64,,,,False,0,,False,True,69,69,0,0,True,83.04,,,,,,False,True,False,True,False,2,medio,50.0
05607,05,RETIRO,ANTIOQUIA,Municipio,3,True,113.10327093233434,0.4675161905113077,113.1032709323343,11,2,10,44.75,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05615,05,RIONEGRO,ANTIOQUIA,Municipio,14,True,2178.3452470665834,11.121559994169116,2178.3470600621345,75,5,20,84.96,89.16,29.0,ALUMINIO POTENCIALMENTE BIODISPONIBLE,True,2,2023.0,True,False,0,0,0,0,False,42.3,,,,,,False,True,True,True,False,3,alto,25.0
05628,05,SABANALARGA,ANTIOQUIA,Municipio,1,True,1539.9685956014132,5.795303180936743,1539.9685956014132,8,1,2,54.69,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05631,05,SABANETA,ANTIOQUIA,Municipio,0,False,0.0,0.0,0.0,0,0,0,12.11,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05642,05,SALGAR,ANTIOQUIA,Municipio,1,True,12.861382385991227,0.0446213084702791,12.861382385991227,3,1,2,29.04,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05647,05,SAN ANDRÉS DE CUERQUÍA,ANTIOQUIA,Municipio,4,True,3252.991085056713,15.728595376640053,3252.9910850567094,46,1,8,76.4,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05649,05,SAN CARLOS,ANTIOQUIA,Municipio,9,True,1891.0574179663,2.6396205477854204,1891.0592082107248,48,4,17,69.53,,,,False,0,,False,True,4,4,0,0,True,74.84,,,,,,False,True,False,True,False,2,medio,50.0
05652,05,SAN FRANCISCO,ANTIOQUIA,Municipio,4,True,246.88692662994447,0.697023745094402,250.50569700883503,38,1,9,53.75,,,,False,0,,False,True,11,11,0,0,True,78.83,,,,,,False,True,False,True,False,2,medio,50.0
05656,05,SAN JERÓNIMO,ANTIOQUIA,Municipio,3,True,104.62445001143747,0.6876872334770356,121.25358258797122,11,2,11,46.53,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05658,05,SAN JOSÉ DE LA MONTAÑA,ANTIOQUIA,Municipio,0,False,0.0,0.0,0.0,0,0,0,12.11,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05659,05,SAN JUAN DE URABÁ,ANTIOQUIA,Municipio,2,True,103.30772256908428,0.4097584888784666,103.30772256908428,9,1,6,40.86,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
05660,05,SAN LUIS,ANTIOQUIA,Municipio,10,True,6156.589477410039,11.877375340786822,6156.589537911526,73,3,87,83.29,,,,False,0,,False,True,16,16,0,0,True,80.36,,,,,,False,True,False,True,False,2,medio,50.0
05664,05,SAN PEDRO DE LOS MILAGROS,ANTIOQUIA,Municipio,4,True,1147.3690828635383,4.877252078379659,1147.3695402657163,22,3,11,65.45,,,,False,0,,False,True,0,0,0,0,False,42.3,,,,,,False,True,False,True,False,2,medio,50.0
