categoria,lat,ica6,ica5,areaoperativa,clase,fechamuestra,lon,nombre,estacionid
,11.03333333,0.485,0.565,,,2009,-74.81666667,FLORES LAS [29047020]_CAM,29877
,7.06027778,,0.57,,,2016,-73.87611111,BARRANCABERMEJA AUTOMATICA[23157030]_CAM,29902
,6.50905556,0.73,0.795,,,2015,-72.32958333,BOCATOMA LAJA - CARDENILLO_CAM,29981
,6.50905556,0.77,0.79,,,2013,-72.32958333,BOCATOMA LAJA - CARDENILLO_CAM,29981
,6.50352778,0.85,0.95,,,2013,-72.36002778,SECTOR RONCES - CARDENILLO_CAM,29983
,5.1525,0.77,0.89,,,2014,-73.67388889,PM_CUN_CHOCONTA - QDA TEJAR_QUEBRADA TEJAR,30998
,5.19527778,0.61,0.66,,,2014,-73.61416667,PM_CUN_VILLAPINZON_SAN PEDRO_AGUAS ABAJO QUINCHIA - RIO BOGOTA_RIO BOGOTA,31015
,6.19972222,0.57,0.66,,,2017,-75.33408333,RCA_ANT_RIONEGRO_FRESERALA[23087830]_NEGRO,31055
,6.19972222,,0.61,,,2005,-75.33408333,RCA_ANT_RIONEGRO_FRESERALA[23087830]_NEGRO,31055
,5.73102778,0.75,0.83,,,2017,-74.72583333,RCA_ANT_SONSON_SAN MIGUEL [23057140]_LAMIEL,31057
,6.29563889,0.71,0.73,,,2016,-70.19433333,RCA_ARA_CRAVO NORTE_CRAVONORTE[36027050]_CASANARE,31058
,6.29563889,,0.88,,,2015,-70.19433333,RCA_ARA_CRAVO NORTE_CRAVONORTE[36027050]_CASANARE,31058
,6.29563889,0.47,0.55,,,2013,-70.19433333,RCA_ARA_CRAVO NORTE_CRAVONORTE[36027050]_CASANARE,31058
,6.29563889,0.68,0.79,,,2012,-70.19433333,RCA_ARA_CRAVO NORTE_CRAVONORTE[36027050]_CASANARE,31058
,6.29563889,0.59,0.68,,,2011,-70.19433333,RCA_ARA_CRAVO NORTE_CRAVONORTE[36027050]_CASANARE,31058
,6.29563889,0.85,0.86,,,2010,-70.19433333,RCA_ARA_CRAVO NORTE_CRAVONORTE[36027050]_CASANARE,31058
,6.29563889,0.57,0.66,,,2009,-70.19433333,RCA_ARA_CRAVO NORTE_CRAVONORTE[36027050]_CASANARE,31058
,6.29563889,,0.75,,,2008,-70.19433333,RCA_ARA_CRAVO NORTE_CRAVONORTE[36027050]_CASANARE,31058
,6.29563889,,0.78,,,2007,-70.19433333,RCA_ARA_CRAVO NORTE_CRAVONORTE[36027050]_CASANARE,31058
,6.29563889,,0.77,,,2006,-70.19433333,RCA_ARA_CRAVO NORTE_CRAVONORTE[36027050]_CASANARE,31058
,6.29563889,,0.81,,,2005,-70.19433333,RCA_ARA_CRAVO NORTE_CRAVONORTE[36027050]_CASANARE,31058
,6.29563889,,0.93,,,2004,-70.19433333,RCA_ARA_CRAVO NORTE_CRAVONORTE[36027050]_CASANARE,31058
